Type,# Fat,Date,Month,Day,Hour,Time,x,y,Year
Pedestrian,1,2016-09-18,9,7,21,21:55,-97.772877,30.221043,2016
Motorcycle,1,2016-09-19,9,1,17,17:45,-97.860751,30.252162,2016
Motorcycle,1,2016-09-28,9,3,2,02:15,-97.755944,30.328111,2016
Motor Vehicle,1,2016-10-02,10,7,0,00:19,-97.689117,30.330145,2016
Motor Vehicle,1,2016-10-12,10,3,23,23:53,-97.709194,30.203042,2016
Motor Vehicle,1,2016-10-15,10,6,3,03:27,-97.830063,30.22721,2016
Motor Vehicle,1,2016-10-13,10,4,8,08:39,-97.831159,30.236357,2016
Motor Vehicle,1,2016-10-19,10,3,2,02:25,-97.741652,30.23385,2016
Motor Vehicle,1,2016-10-26,10,3,3,03:20,-97.731593,30.330871,2016
Motor Vehicle,1,2016-10-26,10,3,12,12:07,-97.824728,30.172108,2016
Bicycle,1,2016-11-05,11,6,7,07:20,-97.832441,30.236119,2016
Pedestrian,1,2016-11-08,11,1,6,18:57,-97.700108,30.357647,2016
Motorcycle,1,2016-11-11,11,5,8,20:21,-97.811354,30.104064,2016
Pedestrian,1,2016-11-16,11,3,5,05:50,-97.70943,30.311346,2016
Pedestrian,1,2016-11-06,11,7,8,20:34,-97.688996,30.377419,2016
Motor Vehicle,2,2016-11-22,11,2,19,19:31,-97.594177,30.338692,2016
Pedestrian,1,2016-11-23,11,3,3,03:34,-97.793833,30.145808,2016
Motorcycle,1,2016-11-11,11,5,21,21:44,-97.682105,30.223902,2016
Pedestrian,1,2016-11-24,11,4,18,18:37,-97.705601,30.329808,2016
Motor Vehicle,1,2016-11-25,11,5,19,19:47,-97.718872,30.33763,2016
Pedestrian,1,2016-11-29,11,2,21,21:13,-97.702597,30.286928,2016
Pedestrian,1,2016-11-29,11,2,14,14:15,-97.740043,30.235451,2016
Motor Vehicle,1,2016-12-07,12,3,8,08:22,-97.624398,30.195326,2016
Motor Vehicle,1,2016-12-18,12,7,3,03:38,-97.895974,30.250702,2016
Motor Vehicle,1,2016-12-21,12,3,5,05:47,-97.766961,30.224881,2016
Pedestrian,1,2016-12-21,12,3,16,16:13,-97.775528,30.202493,2016
Pedestrian,1,2016-12-23,12,5,22,22:10,-97.819543,30.277537,2016
Pedestrian,1,2016-11-25,11,5,17,17:58,-97.768774,30.215157,2016
Motor Vehicle,1,2017-01-03,1,2,1,01:55,-97.709153,30.350809,2017
Bicycle,1,2017-01-08,1,7,15,15:32,-97.753497,30.426752,2017
Motor Vehicle,1,2017-01-07,1,6,21,21:06,-97.623275,30.33123,2017
Motor Vehicle,1,2017-01-15,1,7,2,02:19,-97.790548,30.449598,2017
Pedestrian,1,2017-01-11,1,3,6,06:51,-97.706646,30.320762,2017
Motor Vehicle,1,2017-02-05,2,7,3,03:41,-97.807729,30.111226,2017
Motor Vehicle,1,2017-02-07,2,2,23,23:24,-97.707257,30.213443,2017
Motor Vehicle,1,2017-02-19,2,7,23,23:14,-97.78569,30.371658,2017
Motorcycle,1,2017-02-22,2,3,15,15:15,-97.708229,30.321594,2017
Motor Vehicle,1,2017-02-17,2,5,2,02:48,-97.660994,30.302634,2017
Motor Vehicle,1,2017-03-11,3,6,20,20:44,-97.704747,30.197431,2017
Bicycle,1,2017-03-14,3,2,23,23:42,-97.678834,30.286215,2017
Motor Vehicle,1,2017-03-18,3,6,8,08:07,-97.826565,30.239929,2017
Pedestrian,1,2017-03-12,3,7,1,01:21,-97.693053,30.370097,2017
Pedestrian,1,2017-03-19,3,7,2,02:31,-97.717858,30.401852,2017
Pedestrian,1,2017-03-24,3,5,11,11:56,-97.68631,30.332499,2017
Bicycle,1,2017-03-28,3,2,19,19:26,-97.755834,30.24743,2017
Motor Vehicle,1,2017-03-30,3,4,11,11:12,-97.694956,30.321868,2017
Pedestrian,1,2017-04-04,4,2,21,21:06,-97.771719,30.191007,2017
Motor Vehicle,2,2017-04-08,4,6,4,04:43,-97.622752,30.199905,2017
Motor Vehicle,2,2017-04-08,4,6,9,09:52,-97.904446,30.257222,2017
Motorcycle,1,2017-04-17,4,1,19,19:21,-97.694928,30.290123,2017
Motorcycle,1,2017-04-25,4,2,16,16:19,-97.733094,30.376402,2017
Motor Vehicle,1,2017-04-29,4,6,13,13:52,-97.754884,30.184113,2017
Pedestrian,1,2017-04-27,4,4,6,06:23,-97.7472,30.193826,2017
Motor Vehicle,1,2017-05-01,5,1,12,12:02,-97.703222,30.321727,2017
Motor Vehicle,1,2017-05-30,5,2,21,21:18,-97.775425,30.192018,2017
Motor Vehicle,1,2017-06-05,6,1,6,06:15,-97.639116,30.203154,2017
Motor Vehicle,1,2017-06-10,6,6,22,22:28,-97.718512,30.350281,2017
